"","id","display_name","artists","artists_IDs","yr","danceability","energy","key","loudness","liveness","tempo","uri","url"
"1.1","03LGpDYgqaaj2TuX5Sj7CS","One Wild Night","Bon Jovi","58lV9VcRSjABbAbfWS6skp","2001",0.538,0.897,0,-4.374,0.0988,142.278,"spotify:track:03LGpDYgqaaj2TuX5Sj7CS","https://open.spotify.com/track/03LGpDYgqaaj2TuX5Sj7CS"
"1.2","03UrZgTINDqvnUMbbIMhql","Gangnam Style (<U+AC15><U+B0A8><U+C2A4><U+D0C0><U+C77C>)","PSY","2dd5mrQZvg6SmahdgVKDzh","2012",0.736,0.939,11,-2.812,0.0905,132.07,"spotify:track:03UrZgTINDqvnUMbbIMhql","https://open.spotify.com/track/03UrZgTINDqvnUMbbIMhql"
"1.3","07ABETRdek3ACMpRPvQuaT","Always On My Mind","Pet Shop Boys","2ycnb8Er79LoH2AsR5ldjh","1988",0.533,0.783,7,-10.61,0.186,124.874,"spotify:track:07ABETRdek3ACMpRPvQuaT","https://open.spotify.com/track/07ABETRdek3ACMpRPvQuaT"
"1.4","08nAkspES3ZQ7TbnIaJu6O","I Can't Stand It '94","Twenty 4 Seven","39QjUR6m5slbxO36zayaMq","1990",0.691,0.92,8,-11.601,0.0997,139.864,"spotify:track:08nAkspES3ZQ7TbnIaJu6O","https://open.spotify.com/track/08nAkspES3ZQ7TbnIaJu6O"
"1.5","0AFJOoRQFlo10Vm1p6BRjg","El calor del amor en un bar","Gabinete Caligari","112QHbB1xApqwVJR6n20xy","1986",0.583,0.879,4,-4.077,0.126,129.25,"spotify:track:0AFJOoRQFlo10Vm1p6BRjg","https://open.spotify.com/track/0AFJOoRQFlo10Vm1p6BRjg"
"1.6","0AH6WMe3OlAlUb5miXt2FQ","Only Girl (In The World)","Rihanna","5pKCCKE2ajJHZ9KAiaK11H","2010",0.786,0.714,11,-4.159,0.0746,125.922,"spotify:track:0AH6WMe3OlAlUb5miXt2FQ","https://open.spotify.com/track/0AH6WMe3OlAlUb5miXt2FQ"
"1.7","0BJdpD3m8414QOj8iqFYMR","Antes Que Ver El Sol - Con Dani (El Canto Del Loco)","Coti","1OUDQLymoysITxprkd0Qvj","2005",0.678,0.69,9,-7.496,0.167,134.04,"spotify:track:0BJdpD3m8414QOj8iqFYMR","https://open.spotify.com/track/0BJdpD3m8414QOj8iqFYMR"
"1.8","0bjZs2VTiGpKoMh4AETRMt","¿No Podiamos Ser Agua?","Maldita Nerea","3heR1it0slFXjaa7E62zpw","2011",0.682,0.699,0,-6.731,0.206,135.909,"spotify:track:0bjZs2VTiGpKoMh4AETRMt","https://open.spotify.com/track/0bjZs2VTiGpKoMh4AETRMt"
"1.9","0cXm3QqepHVzXKdm73sqkl","Beetlebum","Blur","7MhMgCo0Bl0Kukl93PZbYS","1997",0.487,0.648,0,-5.14,0.266,89.571,"spotify:track:0cXm3QqepHVzXKdm73sqkl","https://open.spotify.com/track/0cXm3QqepHVzXKdm73sqkl"
"1.10","0DCxAJasKxjhODdqpF4s36","Everlasting Love","Gloria Estefan","5IFCkqu9J6xdWeYMk5I889","1995",0.708,0.817,7,-6.689,0.111,128.871,"spotify:track:0DCxAJasKxjhODdqpF4s36","https://open.spotify.com/track/0DCxAJasKxjhODdqpF4s36"
